data,decision,judge,region,articles
"кция представила доказательства, что налогоплательщиком не представлено документального подтверждения соблюдения правил ведения раздельного учёта в целях налогообложения НДС и налога на прибыль, а также регистры налогового учёта, подтверждающие пообъектное списание ТМЦ на территории РФ и за пределами РФ. В соответствии с частью 3 статьи 201 АПК РФ арбитражный суд, установив, что оспариваемый ненормативный правовой акт, решения и действия (бездействие) органов, осуществляющих публичные полномочия, должностных лиц соответствуют закону или иному нормативному правовому акту и не нарушают права и законные интересы заявителя, суд принимает решение об отказе в удовлетворении заявленного требования. При указанных обстоятельствах, оснований для признания оспариваемого решения налоговой инспекции незаконным у суда не имеется, в связи с чем, заявление общества удовлетворению не подлежит. руководствуясь статьями 167, 168, 169, 170, 201 Арбитражного процессуального кодекса Российской Федерации, суд",частично,И.В. Навакова,Буденновск,"{'апк': [167, 168, 169, 170, 198, 201]}"
"тельствует о том, что Маркетплейс возвращены отправления истцу на сумму 30 401 руб. Таким образом, с ответчика не может быть взыскана сумма убытков, рассчитанных на основании документов о закупочной стоимости, более 156 213 руб. 98 коп. (186 614, 98 руб. - размер исковых требований - 30 401 руб.- стоимость возвращенных товаров). На сумму 156 213 руб. 98 коп. ответчик указывает на то, что истцом не предоставлено доказательств фото и видеоматериалов упаковки и передачи товара в качестве доказательства несения убытков. Между тем, соглашаясь с доводами истца, данные возражения в условиях принятия груза по реестру, который подписан от ответчика третьим лицом, являются несостоятельными. Учитывая изложенное, исковые требования подлежат частичному удовлетворению в сумме 156 213 руб. 98 коп. На основании ст. 110 АПК РФ расходы по государственной пошлине подлежат отнесению на ответчика пропорционально удовлетворенным исковым требованиям. 3 Руководствуясь ст. ст. 110, 167-171, 180-181 АПК РФ, суд",частично,Елена Алибековна,Москва,{}
"нению в отношении должника положения пункта 8 статьи 213.6 Закона о банкротстве. Арбитражный суд утверждает финансового управляющего в порядке, установленном статьей 45 Закона о банкротстве настоящего Федерального закона, с учетом положений статьей 213.4, 213.5, 213.9 названного Закона. На основании определения арбитражного суда согласно пункту 4 статьи 213.4 Закона о банкротстве саморегулируемая организация, заявленная должником при подаче заявления о признании себя несостоятельным (банкротом), представила к утверждению кандидатуру арбитражного управляющего с заключением о соответствии требованиям статей 20 и 20.2 Закона о банкротстве, который изъявил своё желание быть финансовым управляющим в деле о банкротстве должника-гражданина. Руководствуясь статьями 167-170, 176, 223 Арбитражного процессуального кодекса Российской Федерации и статьями 20, 20.2, 45, 124, 126, 127, 213.6, 213.9, 213.24 Федерального закона от 26.10.2002 № 127-ФЗ «О несостоятельности (банкротстве)», арбитражный суд",принято,А.О. Монгуш,Москва,"{'апк': [121, 167, 168, 169, 170, 176, 223]}"
"ания для грузополучателей. При этом необходимо учитывать, что согласно абзацу 4 того же пункта Правил, датой фактического срока доставки груза по назначению, является дата уведомления грузополучателя о прибытии груза, на железнодорожную станцию назначения - эта дата также указывается в разделе «Календарные штемпеля». 5 При этом, для определения посуточного срока фактической доставки груза в соответствии с правилами, предусмотренными п. 2.6. Правил, неполные сутки перевозки вагонов принимаются за полные. В силу статьи 793 ГК РФ, в случае ненадлежащего исполнения обязательств по перевозке стороны несут ответственность, установленную, в том числе, транспортными уставами и кодексами. Судом расчет истца проверен, признан верным. С учетом изложенного, исковые требования подлежат удовлетворению в полном объеме. Расходы по оплате государственной пошлины распределяются в соответствии со ст. 110 АПК РФ. На основании и руководствуясь ст. ст. 65, 68, 71, 75, 110, 167-171, 176, 180, 181 АПК РФ, суд",частично,Т.В. Моисеенко,Москва,{'гк': [10]}
"а 26 Постановления Пленума Верховного Суда Российской Федерации от 21.01.2016 № 1 «О некоторых вопросах применения законодательства о возмещении издержек, связанных с рассмотрением дела», добровольное удовлетворение ответчиком исковых требований после обращения истца в суд (подачи искового заявления) является достаточным основанием для возложения на ответчика всех расходов истца, в том числе и по уплате государственной пошлины. (Определение Верховного Суда Российской Федерации от 27.09.2021 №310-ЭС21-5030). Учитывая частичное погашение задолженности ответчиком после обращения истца в арбитражный суд, исходя из уточненных требований, следует взыскать с ответчика в пользу истца расходы по уплате государственной пошлины в сумме 34 930,00 руб. Государственная пошлина в размере 887,00 руб. подлежит взысканию с ответчика в доход федерального бюджета. Руководствуясь статьями 49, 65, 110, 159, 167-170, 182 ч.2, 229, 257 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично,М.В. Новикова,Воронеж,{'жк': [157]}
"нению в отношении должника положения пункта 8 статьи 213.6 Закона о банкротстве. Арбитражный суд утверждает финансового управляющего в порядке, установленном статьей 45 Закона о банкротстве настоящего Федерального закона, с учетом положений статьей 213.4, 213.5, 213.9 названного Закона. На основании определения арбитражного суда согласно пункту 4 статьи 213.4 Закона о банкротстве саморегулируемая организация, заявленная должником при подаче заявления о признании себя несостоятельным (банкротом), представила к утверждению кандидатуру арбитражного управляющего с заключением о соответствии требованиям статей 20 и 20.2 Закона о банкротстве, который изъявил своё желание быть финансовым управляющим в деле о банкротстве должника-гражданина. Руководствуясь статьями 167-170, 176, 223 Арбитражного процессуального кодекса Российской Федерации и статьями 20, 20.2, 45, 124, 126, 127, 213.6, 213.9, 213.24 Федерального закона от 26.10.2002 № 127-ФЗ «О несостоятельности (банкротстве)», арбитражный суд",принято,А.О. Монгуш,Москва,"{'апк': [18, 121, 167, 168, 169, 170, 176, 223]}"
"ленные действия, не связанные со взысканием денежных средств или с передачей имущества, арбитражный суд в резолютивной части решения указывает лицо, обязанное совершить эти действия, а также место и срок их совершения (часть 1 статьи 174 АПК РФ). С учетом возможности ответчика по исполнению обязательства, отсутствия каких- либо затруднений по его исполнению, а также иных заслуживающих внимания обстоятельств, суд признает достаточным заявленный истцом срок 10 дней для того, чтобы ответчик самостоятельно освободил самовольно занятый земельный участок площадью 123 кв.м. путем демонтажа летней площадки, расположенной по адресу: г. Ставрополь, в районе нежилого здания №56б по улице Доваторцев. 5 Судебные расходы по уплате государственной пошлины за рассмотрение заявления распределены в соответствии с требованиями статьи 110 АПК РФ. На основании изложенного, руководствуясь статьями 110, 167 – 170 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Ставропольского края,",принято,Любовь Валерьевна,Ставрополь,"{'зк': [25, 26], 'апк': [4]}"
"во об отсрочке оплаты государственной пошлины до вступления в законную силу судебного акта по делу. В пункте 16 постановления Пленума ВАС РФ от 11.07.2014 № 46 «О применении законодательства о государственной пошлине при рассмотрении дел в арбитражных 11 судах» разъяснено, что в тех случаях, когда до окончания рассмотрения дела государственная пошлина не была уплачена (взыскана) частично либо в полном объеме ввиду действия отсрочки, рассрочки по уплате госпошлины, увеличения истцом размера исковых требований после обращения в арбитражный суд, вопрос о взыскании неуплаченной в федеральный бюджет государственной пошлины разрешается судом исходя из следующих обстоятельств. Если суд удовлетворяет заявленные требования, государственная пошлина взыскивается с другой стороны непосредственно в доход федерального бюджета применительно к части 3 статьи 110 АПК РФ. Руководствуясь ст. 49, 110, 167 – 171 Арбитражного процессуального кодекса Российской Федерации, Арбитражный суд Ставропольского края",частично,Л.В. Быкодорова,Ставрополь,"{'апк': [228], 'жк': [154], 'гк': [333]}"
"действуя в строгом соответствии со ст. 71 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд, оценив представленные в материалы дела доказательства по своему внутреннему убеждению, основанному на всестороннем, полном, объективном и непосредственном их исследовании, оценив также относимость, допустимость, достоверность каждого доказательства в отдельности, а также достаточность и взаимную связь доказательств в их совокупности, находит первоначально заявленные требования подлежащими удовлетворению, в удовлетворении встречного иска суд отказыывает. Расходы по оплате государственной пошлины подлежат распределению в порядке ст. 110 АПК РФ. 6 Таким образом, указанные расходы подлежат взысканию с ответчика в пользу истца. На основании ст. 8, 10, 12, 307-310, 395, 421, 431, 450, 450.1, 702, 708, 711, 720, 746, 753, 1102, 1107 Гражданского кодекса Российской Федерации руководствуясь ст. ст. 110, 167, 170, 176 Арбитражного процессуального кодекса Российской Федерации, суд",частично,Ксения Владимировна,Москва,{}
"одились в незаконном обороте, то в резолютивной части решения суда определяются дальнейшие действия с такими вещами. В силу пункта 4 статьи 1252 ГК РФ в случае, когда изготовление, распространение или иное использование, а также импорт, перевозка или хранение материальных носителей, в которых выражены результат интеллектуальной деятельности или средство 5 индивидуализации, приводят к нарушению исключительного права на такой результат или на такое средство, такие материальные носители считаются контрафактными и по решению суда подлежат изъятию из оборота или уничтожению без какой бы то ни было компенсации, если иные последствия не предусмотрены ГК РФ. На основании изложенного изъятые в соответствии с протоколом изъятия от 10.07.2024 года предметы, содержащие незаконное воспроизведение товарных знаков, подлежат изъятию из оборота и уничтожению в установленном законом порядке. Руководствуясь статьями 167 - 171, 206 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято,Юшкарёв Илья Юрьевич,Калининград,{}
